"['VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches', 'sciencedirect']"
"['Fast3DS: A real-time full-convolutional malicious domain name detection system', 'sciencedirect']"
"['Osteogenic monocytes within the coronary circulation and their association with plaque vulnerability in patients with early atherosclerosis', 'sciencedirect']"
"['Range detection assessment of photonic radar under adverse weather perceptions', 'sciencedirect']"
"['A reliable and energy-efficient classifier combination scheme for intrusion detection in embedded systems', 'sciencedirect']"
"['An automated deep learning based anomaly detection in pedestrian walkways for vulnerable road users safety', 'sciencedirect']"
"['The rise of software vulnerability: Taxonomy of software vulnerabilities detection and machine learning approaches', 'sciencedirect']"
"['AutoVAS: An automated vulnerability analysis system with a deep learning approach', 'sciencedirect']"
"['The impact factors on the performance of machine learning-based vulnerability detection: A comparative study', 'sciencedirect']"
"['A survey on the application of deep learning for code injection detection', 'sciencedirect']"
"['A deep learning based static taint analysis approach for IoT software vulnerability location', 'sciencedirect']"
"['VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches', 'sciencedirect']"
"['HAN-BSVD: A hierarchical attention network for binary software vulnerability detection', 'sciencedirect']"
"['Deep-learning-based reliable routing attack detection mechanism for industrial Internet of Things', 'sciencedirect']"
"['BinDeep: A deep learning approach to binary code similarity detection', 'sciencedirect']"
"['Simulating SQL injection vulnerability exploitation using Q-learning reinforcement learning agents', 'sciencedirect']"
"['Adversarial Deep Learning approach detection and defense against DDoS attacks in SDN environments', 'sciencedirect']"
"['Towards a deep learning-driven intrusion detection approach for Internet of Things', 'sciencedirect']"
"['A novel wide & deep transfer learning stacked GRU framework for network intrusion detection', 'sciencedirect']"
"['Towards secure intrusion detection systems using deep learning techniques: Comprehensive analysis and review', 'sciencedirect']"
"['Internet of Things attack detection using hybrid Deep Learning Model', 'sciencedirect']"
"['Malware patterns detection and prediction using cloud based deep learning for secured network environment', 'sciencedirect']"
"['Neural muscle activation detection: A deep learning approach using surface electromyography', 'sciencedirect']"
"['HyperLi-Net: A hyper-light deep learning network for high-accurate and high-speed ship detection from synthetic aperture radar imagery', 'sciencedirect']"
"['A cross-dataset deep learning-based classifier for people fall detection and identification', 'sciencedirect']"
"['Evolving deep learning architectures for network intrusion detection using a double PSO metaheuristic', 'sciencedirect']"
"['Integrated environmental modeling for efficient aquifer vulnerability assessment using machine learning', 'sciencedirect']"
"['Neural software vulnerability analysis using rich intermediate graph representations of programs', 'sciencedirect']"
"['A deep learning method with wrapper based feature extraction for wireless intrusion detection system', 'sciencedirect']"
"['Anomaly detection in ad-hoc networks based on deep learning model: A plug and play device', 'sciencedirect']"
"['An efficient deep learning-based scheme for web spam detection in IoT environment', 'sciencedirect']"
"['Distributed attack detection scheme using deep learning approach for Internet of Things', 'sciencedirect']"
"['Adaptive online learning for IoT botnet detection', 'sciencedirect']"
"['Towards asynchronous federated learning based threat detection: A DC-Adam approach', 'sciencedirect']"
"['Adaptive anomaly detection system based on machine learning algorithms in an industrial control environment', 'sciencedirect']"
"['Catch them alive: A malware detection approach through memory forensics, manifold learning and computer vision', 'sciencedirect']"
"['Deep belief network based statistical feature learning for fingerprint liveness detection', 'sciencedirect']"
"['Malware detection employed by visualization and deep neural network', 'sciencedirect']"
"['Low-rate DoS attack detection method based on hybrid deep neural networks', 'sciencedirect']"
"['A joint learning approach with knowledge injection for zero-shot cross-lingual hate speech detection', 'sciencedirect']"
"['Transfer learning based intrusion detection scheme for Internet of vehicles', 'sciencedirect']"
"['A survey on machine learning-based malware detection in executable files', 'sciencedirect']"
"['Automatic detection of moisture damages in asphalt pavements from GPR data with deep CNN and IRS method', 'sciencedirect']"
"['Scalable machine learning-based intrusion detection system for IoT-enabled smart cities', 'sciencedirect']"
"['Video pornography detection through deep learning techniques and motion information', 'sciencedirect']"
"['1D-CADCapsNet: One dimensional deep capsule networks for coronary artery disease detection using ECG signals', 'sciencedirect']"
"['Machine learning research towards combating COVID-19: Virus detection, spread prevention, and medical assistance', 'sciencedirect']"
"['Deception in the eyes of deceiver: A computer vision and machine learning based automated deception detection', 'sciencedirect']"
"['In-vehicle network intrusion detection using deep convolutional neural network', 'sciencedirect']"
"['Early detection of glaucoma using optic disc and optic cup segmentation: A survey', 'sciencedirect']"
"['A-Stacking and A-Bagging: Adaptive versions of ensemble learning algorithms for spoof fingerprint detection', 'sciencedirect']"
"['Advanced Persistent Threat attack detection method in cloud computing based on autoencoder and softmax regression algorithm', 'sciencedirect']"
"['Exact greedy algorithm based split finding approach for intrusion detection in fog-enabled IoT environment', 'sciencedirect']"
"['A scalable distributed machine learning approach for attack detection in edge computing environments', 'sciencedirect']"
"['Feature selection for intrusion detection system in Internet-of-Things (IoT)', 'sciencedirect']"
"['DIDDOS: An approach for detection and identification of Distributed Denial of Service (DDoS) cyberattacks using Gated Recurrent Units (GRU)', 'sciencedirect']"
"['A hybrid machine learning approach for malicious behaviour detection and recognition in cloud computing', 'sciencedirect']"
"['Intrusion detection for network based cloud computing by custom RC-NN and optimization', 'sciencedirect']"
"['New attacks on RNN based healthcare learning system and their detections', 'sciencedirect']"
"['Detecting vulnerable plaque with vulnerability index based on convolutional neural networks', 'sciencedirect']"
"[""Alzheimer's disease detection using depthwise separable convolutional neural networks"", 'sciencedirect']"
"['A novel face presentation attack detection scheme based on multi-regional convolutional neural networks', 'sciencedirect']"
"['A malicious threat detection model for cloud assisted internet of things (CoT) based industrial control system (ICS) networks using deep belief network', 'sciencedirect']"
"['Integration of LiDAR and multispectral images for rapid exposure and earthquake vulnerability estimation. Application in Lorca, Spain', 'sciencedirect']"
"['Stochastic modeling of self-evolving botnets with vulnerability discovery', 'sciencedirect']"
"['A machine learning based intrusion detection scheme for data fusion in mobile clouds involving heterogeneous client networks', 'sciencedirect']"
"['Semi-supervised learning based distributed attack detection framework for IoT', 'sciencedirect']"
"['Intelligent system for imposter detection: Asurvey', 'sciencedirect']"
"['PPM-InVIDS: Privacy protection model for in-vehicle intrusion detection system based complex-valued neural network', 'sciencedirect']"
"['Evaluation of urban greenspace vulnerability to typhoon in Taiwan', 'sciencedirect']"
"['Enhancing deep discriminative feature maps via perturbation for face presentation attack detection', 'sciencedirect']"
"['ADSAD: An unsupervised attention-based discrete sequence anomaly detection framework for network security analysis', 'sciencedirect']"
"['Deep and broad URL feature mining for android malware detection', 'sciencedirect']"
"['Performance comparison of intrusion detection systems and application of machine learning to Snort system', 'sciencedirect']"
"['Newly engineered energy-based features for supervised anomaly detection in a physical model of a water supply system', 'sciencedirect']"
"['LogoSENSE: A companion HOG based logo detection scheme for phishing web page and E-mail brand recognition', 'sciencedirect']"
"['A novel statistical analysis and autoencoder driven intelligent intrusion detection approach', 'sciencedirect']"
"['Improving the phishing website detection using empirical analysis of Function Tree and its variants', 'sciencedirect']"
"['Semi-supervised anomaly detection in dynamic communication networks', 'sciencedirect']"
"['Multi-dimensional feature fusion and stacking ensemble mechanism for network intrusion detection', 'sciencedirect']"
"['Gated recurrent unit-based parallel network traffic anomaly detection using subagging ensembles', 'sciencedirect']"
"['Vehicle-mounted far-infrared pedestrian detection using multi-object tracking', 'sciencedirect']"
"['Cell mitosis detection using deep neural networks', 'sciencedirect']"
"['LTRWES: A new framework for security bug report detection', 'sciencedirect']"
"['Internet of things medical image detection and pediatric renal failure dialysis complicated with respiratory tract infection', 'sciencedirect']"
"['Improved detection of Parkinsonian resting tremor with feature engineering and Kalman filtering', 'sciencedirect']"
"['Seizure detection devices: Exploring caregivers’ needs and wishes', 'sciencedirect']"
"['Exploring the selective vulnerability in Alzheimer disease using tissue specific variant analysis', 'sciencedirect']"
"['A hybrid anomaly-based intrusion detection system to improve time complexity in the Internet of Energy environment', 'sciencedirect']"
"['A critical literature survey and prospects on tampering and anomaly detection in image data', 'sciencedirect']"
"['Corpus English word detection and image recognition algorithm based on improved convolutional neural network', 'sciencedirect']"
"['M-AdaBoost-A based ensemble system for network intrusion detection', 'sciencedirect']"
"['LTRWES: A new framework for security bug report detection', 'sciencedirect']"
"['Performance counter based online pipeline bugs detection using machine learning techniques', 'sciencedirect']"
"['Efficient feature extraction model for validation performance improvement of duplicate bug report detection in software bug triage systems', 'sciencedirect']"
"['REPD: Source code defect prediction as anomaly detection', 'sciencedirect']"
"['Neural software vulnerability analysis using rich intermediate graph representations of programs', 'sciencedirect']"
"['A case study on software vulnerability coordination', 'sciencedirect']"
"['Code smell detection by deep direct-learning and transfer-learning', 'sciencedirect']"
"['Modeling vulnerability discovery process in Apache and IIS HTTP servers', 'sciencedirect']"
"['Advanced Persistent Threat attack detection method in cloud computing based on autoencoder and softmax regression algorithm', 'sciencedirect']"
"['An efficient network intrusion detection', 'sciencedirect']"
"['Anomaly network-based intrusion detection system using a reliable hybrid artificial bee colony and AdaBoost algorithms', 'sciencedirect']"
"['On early detection of application-level resource exhaustion and starvation', 'sciencedirect']"
"['SQL-injection vulnerability scanning tool for automatic creation of SQL-injection attacks', 'sciencedirect']"
"['Towards DDoS detection mechanisms in Software-Defined Networking', 'sciencedirect']"
"['A systematic mapping study on architectural smells detection', 'sciencedirect']"
"['Intrusion detection systems in the Internet of things: A comprehensive investigation', 'sciencedirect']"
"['VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches', 'sciencedirect']"
"['The impact factors on the performance of machine learning-based vulnerability detection: A comparative study', 'sciencedirect']"
"['BVDetector: A program slice-based binary code vulnerability intelligent detection system', 'sciencedirect']"
"['The rise of software vulnerability: Taxonomy of software vulnerabilities detection and machine learning approaches', 'sciencedirect']"
"['AutoVAS: An automated vulnerability analysis system with a deep learning approach', 'sciencedirect']"
"['HAN-BSVD: A hierarchical attention network for binary software vulnerability detection', 'sciencedirect']"
"['NodeXP: NOde.js server-side JavaScript injection vulnerability DEtection and eXPloitation', 'sciencedirect']"
"['Evaluating and comparing memory error vulnerability detectors', 'sciencedirect']"
"['A survey on the application of deep learning for code injection detection', 'sciencedirect']"
"['Towards designing an extendable vulnerability detection method for executable codes', 'sciencedirect']"
"['A deep learning based static taint analysis approach for IoT software vulnerability location', 'sciencedirect']"
"['Exploring context-sensitive data flow analysis for early vulnerability detection', 'sciencedirect']"
"['BinDeep: A deep learning approach to binary code similarity detection', 'sciencedirect']"
"['A novel parallel classifier scheme for vulnerability detection in Android', 'sciencedirect']"
"['TT-XSS: A novel taint tracking based dynamic detection framework for DOM Cross-Site Scripting', 'sciencedirect']"
"['Lightweight collaborative anomaly detection for the IoT using blockchain', 'sciencedirect']"
"['Association between neighbourhood socioeconomic status and developmental vulnerability of kindergarten children with Autism Spectrum Disorder: A population level study', 'sciencedirect']"
"['Food fraud: Assessing fraud vulnerability in the extra virgin olive oil supply chain', 'sciencedirect']"
"['Patterns of invertebrate functional diversity highlight the vulnerability of ecosystem services over a 45-year period', 'sciencedirect']"
"['Exploring syndemic vulnerability across generations: A case study of a former fishing village in the Netherlands', 'sciencedirect']"
"['Privacy risk and the use of Facebook Apps: A gender-focused vulnerability assessment', 'sciencedirect']"
"['Direct groundwater discharge and vulnerability to hidden nutrient loads along the Great Lakes coast of the United States', 'sciencedirect']"
"['Common asset holdings and systemic vulnerability across multiple types of financial institution', 'sciencedirect']"
"['Ponzi scheme detection via oversampling-based Long Short-Term Memory for smart contracts', 'sciencedirect']"
"['A case study on software vulnerability coordination', 'sciencedirect']"
"['Effective malware detection scheme based on classified behavior graph in IIoT', 'sciencedirect']"
"['A comparative study on handcrafted features v/s deep features for open-set fingerprint liveness detection', 'sciencedirect']"
"['A hybrid algorithm design for near real time detection cyber attacks from compromised devices to enhance IoT security', 'sciencedirect']"
"['Assessing and mitigating vulnerability and fire risk in historic centres: A cost-benefit analysis', 'sciencedirect']"
"['An ensemble learning approach for XSS attack detection with domain knowledge and threat intelligence', 'sciencedirect']"
"['BLADE: Robust malware detection against obfuscation in android', 'sciencedirect']"
"['Advancements in Gd-based neutron detection: γ–γ coincidence approach', 'sciencedirect']"
"['Generating profile-based signatures for online intrusion and failure detection', 'sciencedirect']"
"['A security pattern detection framework for building more secure software', 'sciencedirect']"
"['SQL-injection vulnerability scanning tool for automatic creation of SQL-injection attacks', 'sciencedirect']"
"['Analysis of update delays in signature-based network intrusion detection systems', 'sciencedirect']"
"['A novel method for SQL injection attack detection based on removing SQL query attribute values', 'sciencedirect']"
"['LogoSENSE: A companion HOG based logo detection scheme for phishing web page and E-mail brand recognition', 'sciencedirect']"
"['Towards a deep learning-driven intrusion detection approach for Internet of Things', 'sciencedirect']"
"['Flow-based anomaly intrusion detection using machine learning model with software defined networking for OpenFlow network', 'sciencedirect']"
"['Logic-based benders decomposition algorithm for contamination detection problem in water networks', 'sciencedirect']"
"['Security threats, detection, and countermeasures for physical layer in cognitive radio networks: A survey', 'sciencedirect']"
"['On early detection of application-level resource exhaustion and starvation', 'sciencedirect']"
"['A kangaroo-based intrusion detection system on software-defined networks', 'sciencedirect']"
"['Detecting critical links of urban networks using cluster detection methods', 'sciencedirect']"
"['IoT data feature extraction and intrusion detection system for smart cities based on deep migration learning', 'sciencedirect']"
"['20: Assessment of shoreline vulnerability in parts of the coastline of Kasaragod district, Kerala, India', 'sciencedirect']"
"['Automated DDOS attack detection in software defined networking', 'sciencedirect']"
"['LTRWES: A new framework for security bug report detection', 'sciencedirect']"
"['Feature representation and selection in malicious code detection methods based on static system calls', 'sciencedirect']"
"['A computational framework for the detection of subcortical brain dysmaturation in neonatal MRI using 3D Convolutional Neural Networks', 'sciencedirect']"
"['Network and vulnerability analysis of international spice trade', 'sciencedirect']"
"['Spatially evaluating a network of plans and flood vulnerability using a Plan Integration for Resilience Scorecard: A case study in Feijenoord District, Rotterdam, the Netherlands', 'sciencedirect']"
"['Food fraud prevention shifts the food risk focus to vulnerability', 'sciencedirect']"
"['Intrusion detection techniques in cloud environment: A survey', 'sciencedirect']"
"['Gated recurrent unit-based parallel network traffic anomaly detection using subagging ensembles', 'sciencedirect']"
"['Context aware intrusion detection for building automation systems', 'sciencedirect']"
"['Epicardial adipose tissue thickness is a predictor for plaque vulnerability in patients with significant coronary artery disease', 'sciencedirect']"
"['A distributed sensing data anomaly detection scheme', 'sciencedirect']"
"['A secure road traffic congestion detection and notification concept based on V2I communications', 'sciencedirect']"
"['CEDAR: Modeling impact of component error derating and read frequency on system-level vulnerability in high-performance processors', 'sciencedirect']"
"['“Time-building specific” seismic vulnerability assessment of a hospital RC building using field monitoring data', 'sciencedirect']"
"['Intrusion detection methods based on integrated deep learning model', 'sciencedirect']"
"['Potential aquifer vulnerability in regions down-gradient from uranium in situ recovery (ISR) sites', 'sciencedirect']"
"['Early detection of crypto-ransomware using pre-encryption detection algorithm', 'sciencedirect']"
"['A novel approach to evaluate software vulnerability prioritization', 'sciencedirect']"
"['Towards sFlow and adaptive polling sampling for deep learning based DDoS detection in SDN', 'sciencedirect']"
"['Survey on cross virtual machine side channel attack detection and properties of cloud computing as sustainable material', 'sciencedirect']"
"['Chapter 3: Risk and vulnerability', 'sciencedirect']"
"['A review on social spam detection: Challenges, open issues, and future directions', 'sciencedirect']"
"['Sub-curve HMM: A malware detection approach based on partial analysis of API call sequences', 'sciencedirect']"
"['Novel set of general descriptive features for enhanced detection of malicious emails using machine learning methods', 'sciencedirect']"
"['Emerging DDoS attack detection and mitigation strategies in software-defined networks: Taxonomy, challenges and future directions', 'sciencedirect']"
"['Composite and efficient DDoS attack detection framework for B5G networks', 'sciencedirect']"
"['Android malware detection via an app similarity graph', 'sciencedirect']"
"['Analysis of vulnerability factors that control nitrate occurrence in natural springs (Osona Region, NE Spain)', 'sciencedirect']"
"['RDP-based Lateral Movement detection using Machine Learning', 'sciencedirect']"
"['Information infrastructure risk prediction through platform vulnerability analysis', 'sciencedirect']"
"['PLC memory attack detection and response in a clean water supply system', 'sciencedirect']"
"['Dual-Core Lockstep enhanced with redundant multithread support and control-flow error detection', 'sciencedirect']"
"['An efficient multistage phishing website detection model based on the CASE feature framework: Aiming at the real web environment', 'sciencedirect']"
"['SFEM: Structural feature extraction methodology for the detection of malicious office documents using machine learning methods', 'sciencedirect']"
"['Epigenetics and the regulation of stress vulnerability and resilience', 'sciencedirect']"
"['ARMORY: An automatic security testing tool for buffer overflow defect detection', 'sciencedirect']"
"['Machine learning methods for cyber security intrusion detection: Datasets and comparative study', 'sciencedirect']"
"['Exploitation, vulnerability to tuberculosis and access to treatment among Uzbek labor migrants in Kazakhstan', 'sciencedirect']"
"['Lightweight rogue access point detection algorithm for WiFi-enabled Internet of Things(IoT) devices', 'sciencedirect']"
"['Preventative high impedance fault detection using distribution system state estimation', 'sciencedirect']"
"['Analysis of vulnerability assessment results based on CAOS', 'sciencedirect']"
"['Dysregulated dopamine storage increases the vulnerability to α-synuclein in nigral neurons', 'sciencedirect']"
"['Data expansion using back translation and paraphrasing for hate speech detection', 'sciencedirect']"
"['A benchmark study of machine learning models for online fake news detection', 'sciencedirect']"
"['Challenges on detection, identification and monitoring of indoor airborne chemical-biological agents', 'sciencedirect']"
"['Cloud-Enabled IoT-based embedded system and software for intelligent indoor lighting, ventilation, early stage fire detection and prevention', 'sciencedirect']"
"['A specification-based intrusion detection engine for infrastructure-less networks', 'sciencedirect']"
"['GNSS spoofing detection: Theoretical analysis and performance of the Ratio Test metric in open sky', 'sciencedirect']"
"['Inland wetland time-series digital change detection based on SAVI and NDWI indecies: Wadi El-Rayan lakes, Egypt', 'sciencedirect']"
"['Soft errors detection and automatic recovery based on replication combined with different levels of checkpointing', 'sciencedirect']"
"['Hybrid intrusion detection system using machine learning', 'sciencedirect']"
"['Intelligent mobile malware detection using permission requests and API calls', 'sciencedirect']"
"['A flow-based approach for Trickbot banking trojan detection', 'sciencedirect']"
"['Performance counter based online pipeline bugs detection using machine learning techniques', 'sciencedirect']"
"['A vulnerability analysis and prediction framework', 'sciencedirect']"
"['Machine learning techniques for code smell detection: A systematic literature review and meta-analysis', 'sciencedirect']"
"['BVDetector: A program slice-based binary code vulnerability intelligent detection system', 'sciencedirect']"
"['IRHT: An SDC detection and recovery architecture based on value locality of instruction binary codes', 'sciencedirect']"
"['Software clone detection: A systematic review', 'sciencedirect']"
"['Neural software vulnerability analysis using rich intermediate graph representations of programs', 'sciencedirect']"
"['Transaction-based classification and detection approach for Ethereum smart contract', 'sciencedirect']"
"['Execution anomaly detection in large-scale systems through console log analysis', 'sciencedirect']"
"['Impact of expert knowledge on the detection of patients at risk of antimicrobial therapy failure by clinical decision support systems', 'sciencedirect']"
"['Advanced Persistent Threat attack detection method in cloud computing based on autoencoder and softmax regression algorithm', 'sciencedirect']"
"['AutoVAS: An automated vulnerability analysis system with a deep learning approach', 'sciencedirect']"
"['A survey on the application of deep learning for code injection detection', 'sciencedirect']"
"['VDSimilar: Vulnerability detection based on code similarity of vulnerabilities and patches', 'sciencedirect']"
"['The rise of software vulnerability: Taxonomy of software vulnerabilities detection and machine learning approaches', 'sciencedirect']"
"['The impact factors on the performance of machine learning-based vulnerability detection: A comparative study', 'sciencedirect']"
"['BinDeep: A deep learning approach to binary code similarity detection', 'sciencedirect']"
"['An automated deep learning based anomaly detection in pedestrian walkways for vulnerable road users safety', 'sciencedirect']"
"['A deep learning based static taint analysis approach for IoT software vulnerability location', 'sciencedirect']"
"['BVDetector: A program slice-based binary code vulnerability intelligent detection system', 'sciencedirect']"
"['HAN-BSVD: A hierarchical attention network for binary software vulnerability detection', 'sciencedirect']"
"['Malicious mining code detection based on ensemble learning in cloud computing environment', 'sciencedirect']"
"['Malware patterns detection and prediction using cloud based deep learning for secured network environment', 'sciencedirect']"
"['MDCHD: A novel malware detection method in cloud using hardware trace and deep learning', 'sciencedirect']"
"['Internet of Things attack detection using hybrid Deep Learning Model', 'sciencedirect']"
"['Machine-learning based vulnerability analysis of existing buildings', 'sciencedirect']"
"['Towards a deep learning-driven intrusion detection approach for Internet of Things', 'sciencedirect']"
"['Towards secure intrusion detection systems using deep learning techniques: Comprehensive analysis and review', 'sciencedirect']"
"['Catch them alive: A malware detection approach through memory forensics, manifold learning and computer vision', 'sciencedirect']"
"['RansomDroid: Forensic analysis and detection of Android Ransomware using unsupervised machine learning technique', 'sciencedirect']"
"['Automatic detection of building typology using deep learning methods on street level images', 'sciencedirect']"
"['Flow-based anomaly intrusion detection using machine learning model with software defined networking for OpenFlow network', 'sciencedirect']"
"['Continuous fields: Enhanced in-vehicle anomaly detection using machine learning models', 'sciencedirect']"
"['Machine learning methods for cyber security intrusion detection: Datasets and comparative study', 'sciencedirect']"
"['A joint learning approach with knowledge injection for zero-shot cross-lingual hate speech detection', 'sciencedirect']"
"['A machine learning based attack detection and mitigation using a secure SaaS framework', 'sciencedirect']"
"['An intelligent method of data integrity detection based on multi-modality fusion convolutional neural network in industrial control network', 'sciencedirect']"
"['DIDDOS: An approach for detection and identification of Distributed Denial of Service (DDoS) cyberattacks using Gated Recurrent Units (GRU)', 'sciencedirect']"
"['A review on social spam detection: Challenges, open issues, and future directions', 'sciencedirect']"
"['Ensemble learning for intrusion detection systems: A systematic mapping study and cross-benchmark evaluation', 'sciencedirect']"
"['Data expansion using back translation and paraphrasing for hate speech detection', 'sciencedirect']"
"['Novel set of general descriptive features for enhanced detection of malicious emails using machine learning methods', 'sciencedirect']"
"['Deception in the eyes of deceiver: A computer vision and machine learning based automated deception detection', 'sciencedirect']"
"['A TAN based hybrid model for android malware detection', 'sciencedirect']"
"['Pick-Object-Attack: Type-specific adversarial attack for object detection', 'sciencedirect']"
"['Outlier detection strategies for WSNs: A survey', 'sciencedirect']"
"['Seizure detection devices: Exploring caregivers’ needs and wishes', 'sciencedirect']"
"['ASSCA: API sequence and statistics features combined architecture for malware detection', 'sciencedirect']"
"['Anomaly detection of defects on concrete structures with the convolutional autoencoder', 'sciencedirect']"
"['Distributed real-time SlowDoS attacks detection over encrypted traffic using Artificial Intelligence', 'sciencedirect']"
"['Emerging DDoS attack detection and mitigation strategies in software-defined networks: Taxonomy, challenges and future directions', 'sciencedirect']"
"['Deep and broad URL feature mining for android malware detection', 'sciencedirect']"
"['Anomaly detection framework to prevent DDoS attack in fog empowered IoT networks', 'sciencedirect']"
"['Chapter 12: Artificial intelligence to predict atheroma plaque vulnerability', 'sciencedirect']"
"['Regression coefficients as triad scale for malware detection', 'sciencedirect']"
"['Role of swarm and evolutionary algorithms for intrusion detection system: A survey', 'sciencedirect']"
"['BLADE: Robust malware detection against obfuscation in android', 'sciencedirect']"
"['Composite and efficient DDoS attack detection framework for B5G networks', 'sciencedirect']"
"['CNN-based encoder-decoder networks for salient object detection: A comprehensive review and recent advances', 'sciencedirect']"
"['Context aware intrusion detection for building automation systems', 'sciencedirect']"
"['Volatile memory analysis using the MinHash method for efficient and secured detection of malware in private cloud', 'sciencedirect']"
"['A survey of malware detection in Android apps: Recommendations and perspectives for future research', 'sciencedirect']"
"['Smoke vehicle detection based on robust codebook model and robust volume local binary count patterns', 'sciencedirect']"
"['Intelligent mobile malware detection using permission requests and API calls', 'sciencedirect']"
"['AppScalpel: Combining static analysis and outlier detection to identify and prune undesirable usage of sensitive data in Android applications', 'sciencedirect']"
"['Face spoofing detection under super-realistic 3D wax face attacks', 'sciencedirect']"
"['Survey on recent counterfeit IC detection techniques and future research directions', 'sciencedirect']"
"['A pragmatic android malware detection procedure', 'sciencedirect']"
"['APT datasets and attack modeling for automated detection methods: A review', 'sciencedirect']"
"['An intrusion detection framework for energy constrained IoT devices', 'sciencedirect']"
"['Deepdom: Malicious domain detection with scalable and heterogeneous graph convolutional networks', 'sciencedirect']"
"['Chapter Five: Fingerprint liveness detection using an improved CNN with the spatial pyramid pooling structure', 'sciencedirect']"
"['Sub-curve HMM: A malware detection approach based on partial analysis of API call sequences', 'sciencedirect']"
"['A taxonomy and survey of cyber-physical intrusion detection approaches for vehicles', 'sciencedirect']"
"['A malware detection method based on family behavior graph', 'sciencedirect']"
"['Stealthy Denial of Service (DoS) attack modelling and detection for HTTP/2 services', 'sciencedirect']"
"['Generalized end-to-end detection of spoofing attacks to automatic speaker recognizers', 'sciencedirect']"
"['SIMCom: Statistical sniffing of inter-module communications for runtime hardware trojan detection', 'sciencedirect']"
"['Behavioral classification and detection of malware through HTTP user agent anomalies', 'sciencedirect']"
"['An integrated static detection and analysis framework for android', 'sciencedirect']"
"['Data preprocessing for anomaly based network intrusion detection: A review', 'sciencedirect']"
"['On the detection and identification of botnets', 'sciencedirect']"
"['Fall detection using optical level anonymous image sensing system', 'sciencedirect']"
"['4: Real-time detection and processing of electromyography signal', 'sciencedirect']"
"['Automated detection and decomposition of railway tunnels from Mobile Laser Scanning Datasets', 'sciencedirect']"
"['A survey of intrusion detection in Internet of Things', 'sciencedirect']"
"['Data integrity assessment for maritime anomaly detection', 'sciencedirect']"
